preview,source,fileLocation,fileName_cn,symbol_lv1_cn,symbol_lv1_en,symbol_lv2_cn,symbol_lv2_en,name_cn,name_en,description_cn,description_en,medium_lv1_cn,medium_lv1_en,medium_lv2_cn,medium_lv2_en,medium_lv3_cn,medium_lv3_en,time_lv1_cn,time_lv1_en,time_lv2_cn,location_cn,location_en,subject_lv1_cn,subject_lv1_en,subject_lv2_cn,subject_lv2_en,subject_lv3_cn,subject_lv3_en,structure_cn,structure_en,morphology_cn,morphology_en,style_cn,style_en,quality,remark,,,,,,,
 ,中国纹样全集_1石器周春秋（吴山），443,test,龙_001 (1),动物,Creature,龙,dragon,双龙纹,double dragons,两条脸对脸的龙形剪影，呈横向展开的对称结构。两龙首尾呼应，躯体弯曲，头部高昂，嘴端上翘，表现出对视或相互守望的姿态。,"Two dragon-shaped silhouettes face each other in a horizontally oriented, symmetrical composition. The dragons’ bodies curve gracefully, their heads raised and snouts slightly upturned, forming a posture of confrontation or mutual vigilance. The design achieves a dynamic balance through the mirrored interplay of forms, with the heads and tails responding to one another across the central axis.",装饰,Adornment & Ornament,玉饰,jade ornaments,,,春秋,Spring and Autumn,,,,身份,Identity,权威，和谐,"authority, harmony",对称的双龙纹象征阴阳调和、对称平衡的哲学思想，寓意王权护佑和社会稳定。,The paired-dragon motif embodies the philosophical ideal of yin–yang harmony and symmetrical balance. It symbolizes royal authority safeguarded by cosmic order and conveys aspirations for political stability and divine protection.,单体,Single,对称,symmetry,抽象,abstract,低,,,,,,,,
 ,297,,龙_001 (2),动物,Creature,龙,dragon,卷尾夔龙纹,spiral-tailed Kui-dragon,这条卷尾龙的龙身修长呈蛇形，沿水平方向延展，尾部盘卷呈螺旋状。龙首硕大，位于右端，额顶竖角，双眼圆睁，面部以卷云纹和曲线装饰，显得庄严而神秘。龙身表面以整齐排列的鳞状纹填充，躯体曲线柔和。龙仅有一足，以符号化的爪形状表示。整体构图呈“首重尾聚”的动势，形成视觉上的集中与延展对比。,"The elongated, serpentine body of this coiled-tail dragon extends horizontally, with the tail curling into a tight spiral. The large dragon head, positioned on the right, features upright horns, round, protruding eyes, and a face richly adorned with scroll motifs and curvilinear designs, imparting an aura of solemnity and mystery. The body surface is filled with neatly arranged scale-like patterns, and the contour lines flow smoothly along its length. Only one limb is rendered, stylized into a symbolic claw form. The composition exhibits a dynamic tension of “weighted head and coiled tail,” creating a visual balance between concentration and extension.",器物,Utensil & Vessel,铜器,bronze ware,,,"商代, 西周",Shang,,,,身份,Identity,权威，震慑,"authority, awe",夔龙是商代礼器上的重要纹样，龙首的直视姿态与威严表情代表王权的正统与祖先的威仪。寓意沟通人神的神兽、王权的象征并守护祭祀，凸显神秘感和非现实性。,"The Kui-dragon was a prominent motif on ritual bronzes of the Shang dynasty. The dragon’s forward-facing head and dignified expression signify royal authority, ancestral majesty, and divine legitimacy. As a mythic creature mediating between humans and deities, it functioned as both a guardian of ritual order and an emblem of sovereign power, embodying a sense of mystery and transcendence beyond the human realm.",单体,Single,均衡,balande,抽象,abstract,中,,,,,,,,
 ,297,,龙_001 (3),动物,Creature,龙,dragon,卷尾夔龙纹,spiral-tailed Kui-dragon,一条身躯修长、尾端卷曲的夔龙形象。龙身横向舒展，没有四肢，尾部盘旋成螺旋状，形成视觉上的收束。龙首呈半侧面位于右端，具双角与圆目，嘴部微张，呈昂首前视之势，神态威严而生动。龙身内部以连续的菱形格与斜线纹填充，部分区域饰以点状纹样，节奏分明。整体构图体现出“首重尾聚”的动态特征，视觉动势由尾部卷曲向龙首集中。,"A Kui-dragon with an elongated, limbless body extending horizontally, its tail curling into a tight spiral that visually anchors the composition. The dragon’s head, shown in three-quarter view on the right, bears paired horns, round eyes, and a slightly open mouth, projecting a dignified and animated presence. The interior of the body is filled with a continuous arrangement of lozenge and diagonal-line patterns, interspersed with dotted textures that create rhythmic variation. The overall composition exhibits the dynamic characteristic of “emphasis on the head and convergence at the tail,” directing the viewer’s gaze from the spiral tail toward the powerful, forward-facing head.",器物,Utensil & Vessel,铜器,bronze ware,,,"商代, 西周",Shang,,,,身份,Identity,权威，守护，运行,"authority, guardianship, action",夔龙是商代礼器上的重要纹样，龙首的昂视姿态代表神威与守护之力。侧面行进的姿态，暗示其处于“执行任务”的状态——引导祖先灵魂、驾驭云雨、护卫中心神祇。暗合礼器上“镇邪、祈福”的象征功能。寓意沟通人神的神兽、和将自然生灵神化以传达秩序与神性的精神追求。,"The Kui-dragon was a principal decorative motif on Shang ritual bronzes, symbolizing divine authority and protective power. Its raised head and vigilant expression embody sacred might, while its lateral, advancing posture suggests active engagement in guiding ancestral spirits, commanding clouds and rain, and guarding the central deity. The design aligns with the ritual function of bronzes as instruments for warding off evil and invoking blessings, expressing the ancient belief in spiritual mediation between the human and divine realms. It also reflects the early Chinese ideal of transforming natural creatures into divine symbols that articulate cosmic order and sacred legitimacy.",单体,Single,均衡,balande,抽象,abstract,中,,,,,,,,
 ,419,,龙_001 (4),动物,Creature,龙,dragon,环形龙纹,circular dragon,纹样由环形盘绕的龙组成。龙体态修长，头部朝内、尾部外卷，形成紧凑的C形状态。龙头有角、圆眼、张口，形态威严而富动势。龙身以连续的菱形格填充，纹饰规整而富节奏。（另一条则以卷云纹为主，线条柔和流动。）,"A dragon coiled into a circular form. The elongated body curves inward at the head and outward at the tail, creating a compact C-shaped configuration. The dragon bears horns, rounded eyes, and an open mouth, exuding both majesty and vitality. The body is filled with an orderly sequence of diamond-shaped lattice patterns, giving the design a strong sense of rhythm and structure. (In another variant, the body is decorated with flowing cloud-scroll motifs, characterized by softer, more fluid lines.)",装饰,Adornment & Ornament,礼玉,jade ritual ware,玉玦,jade slit ring,商代,Shang,,河南安阳殷墟,"Yinxu, Anyang, Henan Province",身份,Identity,权威，守护，循环,"authority, guardianship, cyclicality",环形龙纹象征天地循环与生命永续，是商代宗教观中宇宙秩序的具象化表达。龙作为神灵之兽，寓意护佑与沟通之力。,"The circular dragon symbolizes cosmic cycles and the perpetuation of life, serving as a visual manifestation of the Shang dynasty’s cosmological belief in the cyclical order of heaven and earth. As a divine creature, the dragon represents protection and mediation, embodying the power to connect the human and spiritual realms while safeguarding the sacred balance of the universe.",单体,Single,形状-c形,c-shape,抽象,abstract,中,,,,,,,,
 ,420,,龙_001 (5),动物,Creature,龙,dragon,环形龙纹,circular dragon,该纹样呈环形布局，龙身与纹带融为一体，环绕中心圆孔回旋延展，首尾相接。龙首以三角形额部和卷角表现，眼部以圆形阴刻线勾勒，口部微张。主体由多重曲折线条构成。,"The pattern adopts a circular composition in which the dragon’s body merges seamlessly with the encircling band, coiling around a central aperture in a continuous loop where head and tail meet. The dragon’s head features a triangular brow and curved horns; its eye is rendered with a circular incised line, and the mouth is slightly open. The overall form is constructed from multiple interlacing and angular lines that create a sense of rhythmic rotation and structural tension.",装饰,Adornment & Ornament,礼玉,jade ritual ware,玉环,jade ring,商代,Shang,,,,身份,Identity,权威，守护，循环,"authority, guardianship, cyclicality",龙象征神权和沟通天地的能力，环形象征生命的循环与永恒，契合祖先永生、灵魂不灭的信仰。这个环形龙纹玉佩象征身份和辟邪除祟的功用。,"The dragon symbolizes divine authority and the power to mediate between heaven and earth, while the circular form conveys the cyclical and eternal nature of life, reflecting the Shang belief in ancestral immortality and the perpetuity of the spirit. As a jade pendant, this circular dragon motif functioned both as a marker of status and a protective talisman, warding off malevolent forces while embodying the sacred continuity between the mortal and spiritual realms.",单体,Single,形状-环形,ring-shape,抽象,abstract,中,,,,,,,,
 ,420,,龙_001 (6),动物,Creature,龙,dragon,弧形游龙,arched soaring dragon,一条体态修长、姿态轻盈的龙。龙首位于右端，昂首回望，双角上扬，口微张，神态灵动。龙身呈流畅的弧形，自头部向左侧伸展并渐细，尾端尖锐，似在空中游动。整体造型简洁，龙身内部以少量卷云状线条装饰，线条纤细而富韵律。,"A slender, gracefully arched dragon with a sense of weightless movement. The head, positioned on the right, is raised and turned backward, with upturned horns and a slightly open mouth that conveys liveliness and alertness. The elongated body extends leftward in a smooth curve, tapering into a pointed tail as if gliding through air. The composition is minimalist, with a few delicate cloud-scroll lines adorning the interior of the body, rendered in fine, rhythmic strokes that emphasize the creature’s elegance and fluidity.",装饰,Adornment & Ornament,玉饰,jade ornaments,,,"商代,西周","Shang,West Zhou",,,,身份,Identity,权威，守护,"authority, guardianship",象征天地之间的灵动之气，体现了“龙行云中”的意象，寓意生生不息与气运流转。多用于祭祀或佩饰，代表祈福、护佑与与神灵沟通的媒介。其轻盈的造型暗示着灵魂的升腾与精神的超越，是连接自然、神力与人文秩序的象征。,"Symbolizes the vital energy that flows between heaven and earth, evoking the image of a dragon soaring among clouds—an emblem of continuity and the circulation of cosmic qi. Often used in ritual or as personal adornment, such designs functioned as mediators between the human and divine realms, expressing prayers for blessing and protection. The dragon’s light, ascending form suggests the ascent of the soul and the transcendence of spirit, serving as a potent visual metaphor for the harmony between nature, divine power, and human order.",单体,Single,"形状-弧形,动感","arc-shape,dynamism",抽象,abstract,中,,,,,,,,
 ,420,,龙_001 (7),动物,Creature,龙,dragon,双头弧形龙,double-headed arched dragon,一对首尾相对、呈弧形排列的龙。纹样整体成弧形半环状，两端各为龙首。龙头口部微张，具卷云状角饰与夸张的眉纹。龙体以流畅的放射状线条填充，自中心向两端辐射，形成出由内向外的扩张与生长之势。,"A pair of dragons arranged in an arched, semi-circular formation, their heads positioned at opposite ends and facing each other. Each dragon has a slightly open mouth, curling cloud-like horn ornaments, and pronounced brow ridges that lend a sense of solemn vitality. The bodies are filled with smooth, radiating linear patterns that extend outward from the central axis toward both ends, creating a dynamic impression of expansion and organic growth. The overall composition embodies rhythmic balance and spatial coherence, combining symmetry with movement.",装饰,Adornment & Ornament,玉饰,jade ornaments,,,"商代,西周","Shang,West Zhou",,,,身份,Identity,权威，守护，通灵,"authority, guardianship, spiritual communication",两端相对的龙首寓意天地交感、灵气贯通；辐射线纹代表生命能量的扩散与万物生长的力量。此类玉饰多用于祭祀或随葬，承载沟通人神、祈求护佑的仪式功能。,"The facing heads signify the interaction of heaven and earth, while the radiating lines symbolize the diffusion of vital energy and the generative force of life. Such jade ornaments were often used in ritual or burial contexts as mediators between humans and deities, invoking protection and spiritual continuity.",单体,Single,对称,symmetry,抽象,abstract,高,,,,,,,,
 ,440,,龙_001 (8),动物,Creature,龙,dragon,螺旋盘旋龙纹,spiral coiled dragon,一条盘旋上卷的龙形图案，整体构图以螺旋为核心。龙首位于上方，双角外展，口部微张，露出内卷的鼻线与下颚结构，形态生动。龙身沿顺时针方向盘绕，逐渐内收，直至中心形成紧密的旋涡状结构。全身线条流畅，以阴线勾勒并辅以内填的曲线卷纹。,"A coiling dragon rendered in a spiral composition. The dragon’s head is positioned at the top, with outward-curving horns and a slightly open mouth revealing a stylized snout and jaw. Its body curls clockwise inward, terminating in a compact spiral at the center. Smooth flowing lines define the form, accentuated by incised curvilinear patterns within the body.",装饰,Adornment & Ornament,玉饰,jade ornaments,,,西周,West Zhou,,山西曲村晋侯墓地,"Cemetery of the Marquises of Jin, Qucun Village, Shanxi Province",身份,Identity,权威，守护，循环,"authority, guardianship, cyclicality",龙身的旋转运动寓意灵气回流与天地交感，暗示生命与宇宙的永恒循环。作为西周时期玉器中的常见图式，此类龙纹常见于佩饰或祭祀器具之上，既具有护佑与祈福功能，也代表贵族身份与宗法秩序。,"The swirling motion conveys spiritual circulation and the communion between heaven and humankind, expressing the eternal regeneration of life and order. Frequently seen on Western Zhou jades used as pendants or ritual ornaments, this motif functioned as both a talismanic protector and a marker of noble status.",单体,Single,形状-螺旋/回形,spiral-shape,抽象,abstract,低,,,,,,,,
 ,440,,龙_001 (9),动物,Creature,龙,dragon,曲线盘旋龙纹,angular spiral dragon,一条盘旋曲折的龙形图案，以连续的曲线构成主要结构。龙首位于右上方，角部外卷，口部微张，目部圆点状凸显，神态威严。龙身自首部向左、下方延展后回折上卷，形成方折与曲折相间的布局。线条宽厚，内侧以复线勾勒，体内略施凹槽以示立体层次。构图紧凑而不失动感，兼具力量与秩序感。,"A coiled and angular dragon composed of continuous curvilinear strokes. The dragon’s head appears at the upper right, with outward-curving horns, an open mouth, and a prominent circular eye, projecting a sense of solemn vitality. The body extends leftward and downward before curling upward again, forming an interplay of square turns and rounded curves. The lines are bold and double-outlined, with shallow grooves adding a sense of depth. The compact composition reveal a tension between stability and movement, exuding both dynamism and structural stability. ",装饰,Adornment & Ornament,玉饰,jade ornaments,,,西周,West Zhou,,山西曲村晋侯墓地,"Cemetery of the Marquises of Jin, Qucun Village, Shanxi Province",身份,Identity,权威，守护，循环,"authority, guardianship, cyclicality",龙身的旋转运动寓意灵气回流与天地交感，暗示生命与宇宙的永恒循环。作为西周时期玉器中的常见图式，此类龙纹常见于佩饰或祭祀器具之上，既具有护佑与祈福功能，也代表贵族身份与宗法秩序。,"The swirling motion conveys spiritual circulation and the communion between heaven and humankind, expressing the eternal regeneration of life and order. Frequently seen on Western Zhou jades used as pendants or ritual ornaments, this motif functioned as both a talismanic protector and a marker of noble status.",单体,Single,形状-螺旋/回形,spiral-shape,抽象,abstract,低,,,,,,,,
 ,441,,龙_001 (10),动物,Creature,龙,dragon,卷云龙,scroll dragon,以龙为主体，整体呈纵向构图，形态复杂而富有装饰性。龙首位于右上方，额饰双角，口部微张，鼻吻前伸，眼部圆凸，神态生动。龙身自头部向下卷曲，腹线与背线形成层叠的双曲线结构。纹样内布满旋卷与钩连线条，卷端呈螺旋状，外缘形成回环式边界。整体构图紧凑，线条粗细分明，体现出强烈的层次与动势。该纹样的造型体现了西周中期玉器纹饰由几何化向卷云化发展的特征，兼具庄重与灵动。,"The pattern exemplifies the transitional phase from geometric abstraction to the scroll-cloud aesthetic characteristic of mid–Western Zhou jade ornamentation, marking a stylistic shift from mere formal construction to an expression of movement and spirit. ",装饰,Adornment & Ornament,玉饰,jade ornaments,,,西周,West Zhou,中晚期,,,身份,Identity,权威，守护，通灵,"authority, guardianship, spiritual communication",卷云式龙纹象征天象与气流的交汇，体现“龙为云气之象”的宇宙观。螺旋与卷线代表生生不息的气之流动，龙的盘曲与升腾寓意天地之间的循环与灵性通道。此类纹饰往往用于宗庙礼玉或王族祭器上，具有沟通神灵、祈福镇邪的功能。,"The scroll-dragon pattern embodies the confluence of celestial motion and vital energy, reflecting the Zhou cosmology in which the dragon personifies clouds and qi. The spiral and curvilinear forms signify perpetual circulation and transformation, while the ascending head and descending body represent the interplay of heaven and earth. Such motifs were often carved on ritual jades or royal ceremonial objects, serving as mediators between human and divine realms. ",单体,Single,形状-螺旋/回形,spiral-shape,抽象,abstract,低,,,,,,,,
